label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
3	273 mph	0.598 kg/s	Anaheim	fish	0.7017 m^2	809	0.2715	0.0711	814 kg/s	rat	0.3579	1113 m^3
0	299 mph	0.2155 kg/s	San Jose	rabbit	1.0288 m^2	368	0.5365	0.5099	142 kg/s	hamster	0.6484	-62 m^3
5	-84 mph	0.7737 kg/s	Long Beach	hamster	0.1673 m^2	147	0.7796	0.59	916 kg/s	cat	0.7953	584 m^3
4	591 mph	0.7265 kg/s	Chula Vista	cat	0.5534 m^2	377	0.429	0.2336	193 kg/s	pig	0.6628	302 m^3
3	328 mph	0.6325 kg/s	San Jose	fish	0.8514 m^2	1072	-0.0061	0.0955	1084 kg/s	rat	-0.0317	1324 m^3
4	666 mph	0.7551 kg/s	Moreno Valley	cat	0.4065 m^2	626	0.3368	0.3481	282 kg/s	pig	0.7073	357 m^3
5	193 mph	0.968 kg/s	Fremont	hamster	0.1111 m^2	-34	0.9751	0.8166	758 kg/s	rabbit	0.9193	593 m^3
0	116 mph	0.4094 kg/s	San Jose	guinea pig	1.0129 m^2	577	0.7393	0.5158	200 kg/s	hamster	0.8969	249 m^3
3	229 mph	0.6053 kg/s	San Francisco	fish, pig	0.9226 m^2	1187	-0.0061	-0.0427	634 kg/s	rat	0.2661	987 m^3
5	103 mph	0.7594 kg/s	Long Beach	rat	-0.0722 m^2	299	0.7669	0.697	944 kg/s	cat	0.6818	791 m^3
5	-43 mph	0.6614 kg/s	Oakland	HAMSTER	0.1251 m^2	21	0.6939	0.8341	637 kg/s	chicken	0.763	663 m^3
4	937 mph	0.8219 kg/s	San Jose	chicken	0.4653 m^2	566	0.4831	0.3346	341 kg/s	ferret	0.6005	226 m^3
0	104 mph	0.1372 kg/s	San Jose	rabbit	0.6995 m^2	722	0.8162	0.7678	61 kg/s	hamster	0.7106	-31 m^3
3	194 mph	0.5757 kg/s	Fremont	fish, pig	0.7026 m^2	1087	-0.0701	0.0601	912 kg/s	rat	0.296	815 m^3
0	72 mph	0.3221 kg/s	N/A	rabbit	1.0869 m^2	565	1.0604	0.5358	11 kg/s	fish	0.7679	38 m^3
4	607 mph	0.5186 kg/s	Riverside	chicken	0.5888 m^2	318	0.6315	0.3753	257 kg/s	pig	0.7697	309 m^3
1	1126 mph	0.2164 kg/s	San Francisco	ferret	0.5341 m^2	516	0.7109	0.407	614 kg/s	guinea pig	0.1234	410 m^3
2	760 mph	0.1585 kg/s	SAN FRANCISCO	reptile	0.3769 m^2	551	0.3431	1.1326	323 kg/s	guinea pig	0.1888	628 m^3
1	977 mph	0.3462 kg/s	Irvine	ferret	0.78 m^2	510	0.7286	0.3744	660 kg/s	guinea pig	0.2555	355 m^3
1	971 mph	0.1786 kg/s	Irvine	ferret	0.7846 m^2	411	0.7464	0.4146	366 kg/s	guinea pig	0.1385	442 m^3
0	282 mph	0.0878 kg/s	San Jose	guinea pig	1.1649 m^2	711	0.8223	0.7795	47 kg/s	ferret	0.9307	11 m^3
2	510 mph	0.0884 kg/s	Los Angeles	reptile	0.1663 m^2	244	0.2249	0.9427	428 kg/s	dog	0.5476	600 m^3
4	729 mph	0.9039 kg/s	Moreno Valley	chicken	0.5162 m^2	434	0.3347	0.2478	292 kg/s	fish	0.3024	327 m^3
5	146 mph	1.1132 kg/s	Long Beach	rat	0.1145 m^2	-194	0.7904	0.9217		rabbit	0.5754	745 m^3
2	729 mph	0.0636 kg/s	Sacramento	bird	0.2396 m^2	262	0.1751	1.0091	435 kg/s	fish	0.5635	704 m^3
5	?	0.8411 kg/s	Oakland	rat	0.0824 m^2	-9	0.7196	0.8789	997 kg/s	rabbit	0.7625	566 m^3
5	182 mph	0.9404 kg/s	Long Beach	hamster	0.2804 m^2	77	0.8426	0.8523	861 kg/s	cat	0.82	1118 m^3
4	940 mph	0.6549 kg/s	Bakersfield	dog, pig	0.3942 m^2	448	0.3346	0.2329	293 kg/s	bird	0.6588	420 m^3
1	832 mph	0.4774 kg/s	San Jose	ferret	1.0946 m^2	482	0.6387	0.449	679 kg/s	guinea pig	0.241	180 m^3
4	457 mph	0.7834 kg/s	San Bernardino	cat	0.3311 m^2	482	0.2173	0.2988	195 kg/s	rat	0.7496	562 m^3
0	279 mph	0.3695 kg/s	San Jose	guinea pig	0.8731 m^2	701	0.5127	0.5885	197 kg/s	hamster	0.999	NULL
3	315 mph	0.5118 kg/s	Anaheim	pig, dog	0.8756 m^2	792	-0.0943	0.2865	671 kg/s	bird	0.1673	937 m^3
0	261 mph	0.1656 kg/s	San Jose	guinea pig	0.8321 m^2	510	0.6203	0.4566	435 kg/s	hamster	0.9892	-89 m^3
4	469 mph	0.7195 kg/s	Bakersfield	cat	0.4366 m^2	735	0.3575	0.4447	236 kg/s	FERRET	0.5123	417 m^3
1	762 mph	0.4718 kg/s	Anaheim	ferret	0.6688 m^2	566	0.4198	0.2738	289 kg/s	Guinea Pig	0.1925	None
4	848 mph	0.5391 kg/s	Santa Clarita	cat	0.2979 m^2	601	0.0444	0.1952	433 kg/s	ferret	0.5091	307 m^3
1	862 mph	0.4273 kg/s	Anaheim	ferret	1.0626 m^2	604	0.6113	0.1981	399 kg/s	guinea pig	0.2477	367 m^3
4	659 mph	0.6259 kg/s	San Bernardino	cat	0.5763 m^2	410	0.6016	0.2198	109 kg/s	pig	0.6663	262 m^3
0	406 mph	0.2414 kg/s	Oakland	guinea pig	1.1735 m^2	724	0.5859	0.5548	358 kg/s	reptile	0.9591	-56 m^3
1	1201 mph	0.4727 kg/s	riverside	ferret	0.7567 m^2	369	0.5186	0.2712	774 kg/s	guinea pig	0.1311	344 m^3
4	839 mph	0.7376 kg/s	San Bernardino	cat	0.2746 m^2	721	0.4226	0.2141	240 kg/s	pig	0.345	526 m^3
0	422 mph	0.2756 kg/s	Long Beach	guinea pig	1.0376 m^2	770	0.6097	0.5573	151 kg/s	hamster	0.8657	149 m^3
2	471 mph	0.051 kg/s	Modesto	bird	0.1505 m^2	427	-0.1079	0.9013	283 kg/s	fish	0.5421	557 m^3
4	424 mph	0.7169 kg/s	Chula Vista	cat	0.3691 m^2	802	0.0448	0.1665	319 kg/s	hamster	0.4892	195 m^3
4	641 mph	0.4727 kg/s	Moreno Valley	cat	0.404 m^2	608	0.2921	0.2474	300 kg/s	pig	0.7617	684 m^3
1	998 mph	0.3 kg/s	Anaheim	ferret	0.9497 m^2	562	0.6847	0.5074	441 kg/s	guinea pig	0.1206	304 m^3
3	597 mph	0.5831 kg/s	San Francisco	fish	0.2892 m^2	1061	0.1791	0.0783	725 kg/s	bird	0.1667	1055 m^3
3	251 mph	0.3455 kg/s	Fremont	dog	0.5994 m^2	1022	0.0729	0.0467	811 kg/s	bird	0.2104	1098 m^3
1	975 mph	0.4533 kg/s	Anaheim	ferret	1.0485 m^2	742	0.9123	0.4211	658 kg/s	guinea pig	0.0723	498 m^3
0	122 mph	0.5026 kg/s	San Jose	guinea pig	0.9157 m^2	805	0.7324	0.6342	228 kg/s	reptile	0.9876	-45 m^3
0	360 mph	0.123 kg/s	San Jose	rabbit	1.0183 m^2	922	0.7339	0.475	160 kg/s	reptile	0.927	-80 m^3
3	378 mph	0.4352 kg/s	San Francisco	fish	0.6145 m^2	1200	0.0915	0.4486	837 kg/s	bird	0.1803	920 m^3
5	196 mph	0.8497 kg/s	San Bernardino	hamster	0.1127 m^2	114	0.9972	0.7834	675 kg/s	cat	0.7063	913 m^3
0	83 mph	0.2302 kg/s	San Jose	guinea pig	0.7887 m^2	498	0.701	0.7674	239 kg/s	hamster	1.023	175 m^3
1	825 mph	0.147 kg/s	Riverside	FERRET	0.8746 m^2	311	0.3257	0.2614	398 kg/s	guinea pig	0.1855	478 m^3
1	750 mph	0.3692 kg/s	Anaheim	ferret	0.8651 m^2	490	0.4054	0.3577	528 kg/s	guinea pig	0.224	367 m^3
3	405 mph	n/a	San Francisco		0.4221 m^2	996	-0.1021	0.1285	944 kg/s	cat	0.2537	1139 m^3
0	273 mph	0.3056 kg/s	San Jose	rabbit	0.9627 m^2	574	0.6825	0.5156	-57 kg/s	chicken	0.8178	177 m^3
3	278 mph	0.5861 kg/s	San Francisco	fish	0.7417 m^2	1104	-0.0133	0.0592	796 kg/s	rat	0.1419	708 m^3
4	691 mph	0.9744 kg/s	Santa Clarita	chicken	0.5212 m^2	592	0.347	0.3909	458 kg/s	pig	0.4793	239 m^3
5	142 mph	0.918 kg/s	Long Beach	hamster	0.3273 m^2	-157	0.6532	0.6913	1040 kg/s	Guinea Pig	0.7615	671 m^3
1	1069 mph	0.3028 kg/s	Riverside	ferret	0.7733 m^2	480	0.6279	0.3947	749 kg/s	guinea pig	0.074	211 m^3
0	248 mph	0.1725 kg/s	San Jose	rat	0.8904 m^2	934	0.844	0.4432	-85 kg/s	hamster	1.0423	250 m^3
0	198 mph	0.3092 kg/s	San Jose	guinea pig	0.8932 m^2	1079	0.8381	0.6013	148 kg/s	hamster	0.8156	-141 m^3
2	633 mph	0.2101 kg/s	Santa Ana	bird	0.4894 m^2	373	0.1272	0.9043	259 kg/s	fish	0.5946	560 m^3
1	944 mph	0.391 kg/s	Anaheim	ferret	0.8544 m^2	None	0.4723	0.2035	891 kg/s	guinea pig	0.2461	284 m^3
3	606 mph	0.4859 kg/s	Fremont	dog	0.5627 m^2	974	0.0145	0.2459	844 kg/s	rat	0.1545	979 m^3
2	594 mph	0.1868 kg/s	Fresno	bird	0.6418 m^2	304	0.3281	0.9462	415 kg/s	fish	0.5476	891 m^3
0	95 mph	0.2112 kg/s	San Jose	guinea pig	0.837 m^2	710	0.591	0.5438	281 kg/s	hamster	0.8672	86 m^3
3	520 mph	0.6232 kg/s	San Francisco	dog, fish	0.4187 m^2	885	0.0618	0.2197	950 kg/s	bird	0.3259	934 m^3
1	1037 mph	0.5362 kg/s	Riverside	ferret	0.8404 m^2	649	0.7249	0.2979	718 kg/s	guinea pig	0.0821	473 m^3
1	929 mph		MODESTO	ferret	0.9867 m^2	584	0.634	0.4697	699 kg/s	guinea pig	?	356 m^3
0	87 mph	0.3087 kg/s	San Jose	guinea pig	1.0462 m^2	729	0.6384	0.2135	157 kg/s	reptile	0.815	71 m^3
2	526 mph	0.0816 kg/s	San Diego	bird	0.3564 m^2	267	0.0171	1.0642	185 kg/s	fish	0.3625	716 m^3
4	769 mph	0.5445 kg/s	Stockton	chicken	0.366 m^2	280	0.6478	0.2978	638 kg/s	pig	0.447	439 m^3
2	687 mph	0.1529 kg/s	Los Angeles	bird	0.4155 m^2	103	0.0993	1.0616	449 kg/s	dog	0.5367	591 m^3
4	746 mph	0.433 kg/s	Bakersfield	cat	0.4368 m^2	796	0.3213	0.2445	338 kg/s	ferret	0.4678	540 m^3
0	77 mph	0.1883 kg/s	San Jose	guinea pig	0.8004 m^2	790	0.6432	0.5428	15 kg/s	reptile	0.9889	111 m^3
5	78 mph	1.1208 kg/s	Oakland	rat	-0.087 m^2	329	0.8841	0.9415	742 kg/s	cat	0.7781	814 m^3
5	80 mph	0.7796 kg/s	Oakland	RAT	-0.0679 m^2	-39	0.6876	0.7559	412 kg/s	chicken	0.7934	790 m^3
5	38 mph	0.8267 kg/s	Oakland	rat	-0.023 m^2	-243	1.0566	0.8033	438 kg/s	chicken	0.7962	859 m^3
0	130 mph	0.1319 kg/s	San Jose	guinea pig	1.0229 m^2	673	0.5218	0.5273	43 kg/s	hamster	0.9318	64 m^3
1	943 mph	0.3574 kg/s	Anaheim	PIG	0.8361 m^2	493	0.5852	0.3177	588 kg/s	guinea pig	0.2112	227 m^3
3	?	0.4723 kg/s	Long Beach	fish	0.7069 m^2	1223	0.1845	0.2424	754 kg/s	bird	0.1352	1005 m^3
0	138 mph	0.3994 kg/s	Modesto	guinea pig	1.0816 m^2	819	0.6817	0.6135	360 kg/s	hamster	0.8755	53 m^3
2	665 mph	0.0886 kg/s	Fresno	reptile	0.2563 m^2	336	0.3217	1.0308	158 kg/s	dog	0.5977	790 m^3
3	440 mph	0.5423 kg/s	Oakland	pig, fish	0.4896 m^2	847	-0.0806	0.1733	687 kg/s	rat	0.2097	1132 m^3
1	981 mph	0.1178 kg/s	IRVINE	ferret	0.7488 m^2	349	0.7707	0.4679	727 kg/s	guinea pig	-0.0427	267 m^3
3	432 mph	0.4498 kg/s	Fremont	fish	0.6788 m^2	1114	0.05	0.0416	978 kg/s	rat	0.1003	991 m^3
2	658 mph	-0.032 kg/s	Fresno	reptile	0.508 m^2	-61	0.0348	0.95	NULL	dog	0.2742	509 m^3
3	290 mph	0.4337 kg/s	San Francisco	hamster	1.1132 m^2	1109	0.0092	0.0877	764 kg/s	rat	0.434	873 m^3
5	-14 mph	0.872 kg/s	Santa Clarita	HAMSTER	0.3247 m^2	-238	0.6159	0.8545	669 kg/s	chicken	0.8448	766 m^3
5	62 mph	0.893 kg/s	Long Beach	rat	0.2775 m^2	-90	0.9965	0.8764	991 kg/s	cat	0.9046	654 m^3
1	958 mph	0.1972 kg/s	Riverside	ferret	0.9041 m^2	422	0.6984	0.3642	467 kg/s	guinea pig	0.2524	273 m^3
3	137 mph	0.4793 kg/s	San Francisco	dog, pig	0.7752 m^2	826	-0.1195	0.0406	725 kg/s	rat	0.3325	973 m^3
4	405 mph	0.6801 kg/s	Bakersfield	None	0.5574 m^2	709	0.1484	0.6026	353 kg/s	ferret	0.76	429 m^3
1	1056 mph	0.2997 kg/s	Riverside	ferret	0.8435 m^2	523	0.4611	0.2681	552 kg/s	guinea pig	0.0894	288 m^3
5	113 mph	1.1415 kg/s	Fresno	rat	0.1044 m^2	91	0.7884	0.8088	481 kg/s	chicken	0.642	954 m^3
4	704 mph	0.7047 kg/s	Chula Vista	chicken	0.6754 m^2	529	0.3723	0.2239	118 kg/s	pig	0.7615	357 m^3
5	127 mph	0.9741 kg/s	Long Beach	hamster	0.1326 m^2	-3	0.5828	0.6708	655 kg/s	rabbit	0.7156	492 m^3
4	647 mph	0.6221 kg/s	Bakersfield	cat	0.4118 m^2	767	0.2909	0.4632	344 kg/s	pig	0.4245	198 m^3
1	1057 mph	0.6108 kg/s	Riverside	Ferret	0.7414 m^2	642	0.5739	0.5356	624 kg/s	guinea pig	0.2508	569 m^3
0	92 mph	0.3868 kg/s	San Jose	RABBIT	0.9348 m^2	936	0.5815	0.492	N/A	hamster	1.1634	-50 m^3
5	-84 mph	1.0416 kg/s	Long Beach	hamster	0.1154 m^2	189	0.9078	0.9066	1035 kg/s	cat	0.8782	891 m^3
3	316 mph	0.5035 kg/s	Fremont	dog	0.5319 m^2	911	-0.018	0.1007	691 kg/s	rat	0.2066	752 m^3
0	280 mph	0.2463 kg/s	San Jose	rabbit	0.8408 m^2	796	0.5677	0.4727	399 kg/s	hamster	1.0167	30 m^3
3	298 mph	0.5058 kg/s	San Francisco	pig, fish	0.4996 m^2	1069	0.0243	0.0848	1017 kg/s	bird	-0.007	848 m^3
1	1174 mph	0.2133 kg/s	Riverside	ferret	0.9028 m^2	573	0.6252	0.3476	635 kg/s	guinea pig	0.0324	431 m^3
4	709 mph	0.6641 kg/s	Stockton	chicken	0.5756 m^2	574	0.3501	0.2941	176 kg/s	ferret	0.6125	403 m^3
0	270 mph	0.2858 kg/s	San Jose	rabbit	0.9498 m^2	749	0.7321	0.558	46 kg/s	hamster	1.0926	258 m^3
0	237 mph	0.4205 kg/s	San Jose	rabbit	0.9296 m^2	925	0.6342	0.3927	63 kg/s	reptile	0.7047	70 m^3
0	155 mph	0.2312 kg/s	San Jose	rabbit	0.8878 m^2	438	0.8	0.592	358 kg/s	hamster	1.0147	144 m^3
5	188 mph	0.9101 kg/s	Oakland	hamster	-0.0146 m^2	-64	0.8847	0.8553	660 kg/s	cat	0.7355	831 m^3
4	478 mph	0.5283 kg/s	Santa Clarita	chicken	0.6289 m^2	430	0.5296	0.4805	326 kg/s	ferret	0.3841	412 m^3
4	546 mph	0.8565 kg/s	Santa Clarita	chicken	0.5449 m^2	311	0.4846	0.5566	673 kg/s	ferret	0.4791	113 m^3
2	861 mph	0.1829 kg/s	Sacramento	bird	0.3622 m^2	103	0.2048	0.7671	314 kg/s	fish	0.3573	691 m^3
3	213 mph	0.5646 kg/s	Fremont	pig	0.4136 m^2	789	-0.0179	0.092	669 kg/s	bird	0.3812	933 m^3
3	352 mph	0.6949 kg/s	San Francisco	dog, fish	0.673 m^2	1017	0.2786	0.239	837 kg/s	bird	0.2807	771 m^3
1	928 mph	0.2152 kg/s	Riverside	FERRET	0.893 m^2	249	0.4806	0.6182	347 kg/s	guinea pig	0.366	271 m^3
1	810 mph	0.0968 kg/s	Riverside	ferret	0.6424 m^2	818	0.4685	0.3569	697 kg/s	guinea pig	0.2824	567 m^3
5	-122 mph	1.0818 kg/s	Sacramento	hamster	0.2851 m^2	-53	0.787	0.6621	588 kg/s	chicken	0.7147	599 m^3
2	688 mph	0.0648 kg/s	San Diego	reptile	0.2299 m^2	-6	0.4316	1.0406	280 kg/s	fish	0.4186	427 m^3
1	990 mph	0.2987 kg/s	Anaheim	ferret	0.9892 m^2	682	0.5483	0.4909	656 kg/s	guinea pig	0.1892	464 m^3
4	548 mph	0.8756 kg/s	Santa Clarita	cat	0.4279 m^2	494	0.1712	0.1888	471 kg/s	ferret	0.6265	309 m^3
